Date,Symbol,Open,High,Low,Close,Adj Close,Volume
22-10-2018,TATAMOTORS,176.4,176.85,170.05,170.75,172.31,11721075
23-10-2018,TATAMOTORS,170.0,175.7,169.55,170.65,172.77,15588511
24-10-2018,TATAMOTORS,173.9,175.0,169.0,170.65,171.03,15421903
25-10-2018,TATAMOTORS,168.95,169.75,164.6,165.35,166.6,14877057
26-10-2018,TATAMOTORS,166.0,172.8,165.9,168.5,169.7,19584723
29-10-2018,TATAMOTORS,169.95,176.5,167.7,175.35,173.61,14171750
30-10-2018,TATAMOTORS,177.0,181.5,176.05,177.25,178.54,15602414
31-10-2018,TATAMOTORS,178.3,180.0,173.45,179.1,176.38,12579712
01-11-2018,TATAMOTORS,182.0,186.05,178.2,179.45,181.98,28947802
02-11-2018,TATAMOTORS,180.95,191.85,180.9,190.3,187.76,29425248
05-11-2018,TATAMOTORS,191.3,191.3,186.65,189.8,188.77,14818506
06-11-2018,TATAMOTORS,192.45,199.95,191.75,193.25,196.39,35339222
07-11-2018,TATAMOTORS,194.95,195.75,193.35,194.85,194.83,3932893
09-11-2018,TATAMOTORS,192.9,200.75,192.0,195.25,196.87,22341961
12-11-2018,TATAMOTORS,194.45,194.45,185.2,186.05,188.69,20789180
13-11-2018,TATAMOTORS,180.75,183.0,178.35,179.5,180.43,22189598
14-11-2018,TATAMOTORS,180.5,183.0,176.25,176.8,179.43,15795883
15-11-2018,TATAMOTORS,178.0,182.7,177.5,180.2,180.8,18740276
16-11-2018,TATAMOTORS,180.9,181.85,177.85,179.9,179.69,10022823
19-11-2018,TATAMOTORS,180.6,185.5,179.1,184.6,183.12,14522581
20-11-2018,TATAMOTORS,184.05,188.3,183.2,183.75,185.37,13114982
21-11-2018,TATAMOTORS,184.4,186.75,183.75,184.15,184.81,8097107
22-11-2018,TATAMOTORS,185.5,186.15,181.75,182.55,183.51,9135857
26-11-2018,TATAMOTORS,183.9,184.45,177.0,181.75,180.01,9865426
27-11-2018,TATAMOTORS,181.7,184.55,178.55,180.05,181.38,11639680
28-11-2018,TATAMOTORS,181.0,181.35,174.0,174.45,176.36,12504717
29-11-2018,TATAMOTORS,175.95,179.35,173.45,177.25,177.12,20892744
30-11-2018,TATAMOTORS,172.0,174.9,170.35,171.95,172.62,18393012
03-12-2018,TATAMOTORS,173.25,176.45,170.0,175.45,174.24,14068885
04-12-2018,TATAMOTORS,177.95,178.75,175.3,175.75,176.89,11481923
05-12-2018,TATAMOTORS,173.0,173.0,168.6,169.2,170.64,14960527
06-12-2018,TATAMOTORS,168.5,168.7,161.6,162.65,164.8,15428019
07-12-2018,TATAMOTORS,162.25,164.2,160.8,162.4,162.52,13545006
10-12-2018,TATAMOTORS,159.9,160.5,156.5,157.1,158.32,13520495
11-12-2018,TATAMOTORS,155.0,159.5,154.65,158.1,157.35,12094881
12-12-2018,TATAMOTORS,159.5,167.1,158.0,164.1,163.59,22461175
13-12-2018,TATAMOTORS,166.0,168.0,165.55,166.85,166.88,12235499
14-12-2018,TATAMOTORS,166.0,168.4,164.85,166.95,166.97,10091732
17-12-2018,TATAMOTORS,167.25,175.95,167.25,173.95,173.61,28526103
18-12-2018,TATAMOTORS,174.0,177.6,173.1,174.75,174.91,18015933
19-12-2018,TATAMOTORS,176.5,176.5,172.5,173.9,174.36,11540042
20-12-2018,TATAMOTORS,173.0,177.3,171.75,176.4,175.0,15819006
21-12-2018,TATAMOTORS,177.0,180.5,175.15,176.25,178.14,23742481
24-12-2018,TATAMOTORS,176.25,177.85,171.5,172.5,175.4,11374468
26-12-2018,TATAMOTORS,171.45,172.2,167.6,170.9,169.98,12044191
27-12-2018,TATAMOTORS,172.75,173.4,167.7,168.25,169.87,15231581
28-12-2018,TATAMOTORS,169.4,172.2,169.15,170.85,171.15,8669584
31-12-2018,TATAMOTORS,172.45,173.9,171.75,172.7,172.8,8511388
01-01-2019,TATAMOTORS,173.5,174.2,171.3,173.45,172.71,6715543
02-01-2019,TATAMOTORS,170.6,171.75,168.0,168.55,169.85,13410104
03-01-2019,TATAMOTORS,169.0,170.15,165.1,166.05,167.81,9321842
04-01-2019,TATAMOTORS,169.0,171.95,168.5,170.95,170.46,17650435
07-01-2019,TATAMOTORS,173.2,178.2,173.2,175.35,176.27,21438351
08-01-2019,TATAMOTORS,176.1,180.5,176.1,179.95,179.01,20128985
09-01-2019,TATAMOTORS,181.5,183.6,180.2,183.05,182.05,17468948
10-01-2019,TATAMOTORS,183.65,186.85,183.55,185.75,185.74,16961888
11-01-2019,TATAMOTORS,186.55,187.75,179.4,180.3,182.53,25902974
14-01-2019,TATAMOTORS,180.3,198.3,177.45,182.4,180.72,18935120
15-01-2019,TATAMOTORS,183.3,185.8,181.25,185.35,183.58,13536578
16-01-2019,TATAMOTORS,186.0,187.35,184.05,185.45,185.63,11874245
17-01-2019,TATAMOTORS,186.0,187.3,183.4,184.9,185.18,9365756
18-01-2019,TATAMOTORS,185.65,185.65,181.3,183.3,183.4,6797621
21-01-2019,TATAMOTORS,184.3,184.95,180.65,181.5,182.21,6918258
22-01-2019,TATAMOTORS,181.5,181.5,175.95,180.85,179.19,9775717
23-01-2019,TATAMOTORS,181.7,182.7,178.55,180.25,180.41,9778926
24-01-2019,TATAMOTORS,180.0,180.3,173.7,175.4,175.75,13461254
25-01-2019,TATAMOTORS,175.95,178.9,171.95,173.25,176.09,12136892
28-01-2019,TATAMOTORS,173.3,175.35,169.4,172.3,171.96,8167430
29-01-2019,TATAMOTORS,172.35,174.9,170.9,173.6,173.23,6141180
30-01-2019,TATAMOTORS,174.3,176.75,173.3,174.6,174.87,7757847
31-01-2019,TATAMOTORS,175.8,183.9,175.8,181.2,178.7,22277646
01-02-2019,TATAMOTORS,182.0,185.9,179.55,181.65,182.8,14931422
04-02-2019,TATAMOTORS,181.0,183.7,178.2,180.25,180.7,11854351
05-02-2019,TATAMOTORS,180.7,181.15,174.7,175.8,176.67,12064426
06-02-2019,TATAMOTORS,176.0,179.45,171.9,178.5,175.68,10334594
07-02-2019,TATAMOTORS,179.0,185.0,178.9,182.85,182.49,16152722
08-02-2019,TATAMOTORS,164.6,164.6,129.0,150.7,151.25,102256857
11-02-2019,TATAMOTORS,150.15,153.25,145.85,152.65,150.22,26161867
12-02-2019,TATAMOTORS,152.95,154.4,150.6,151.8,152.54,14174912
13-02-2019,TATAMOTORS,152.95,156.65,151.5,155.0,154.33,15340343
14-02-2019,TATAMOTORS,155.95,161.0,153.8,159.85,157.41,16348306
15-02-2019,TATAMOTORS,159.8,162.3,153.15,161.65,157.95,20705576
18-02-2019,TATAMOTORS,162.8,163.45,159.2,162.9,161.34,13503666
19-02-2019,TATAMOTORS,164.0,165.95,161.55,163.75,164.08,14533142
20-02-2019,TATAMOTORS,164.45,166.7,163.75,164.8,165.06,11610728
