Date,Symbol,Open,High,Low,Close,Volume
2019-08-14,ADANIENT,130.9,132.45,127.35,130.65,4761139
2019-08-16,ADANIENT,130.0,133.95,128.15,132.85,4087073
2019-08-19,ADANIENT,132.8,136.95,132.3,135.5,4261741
2019-08-20,ADANIENT,135.7,136.8,132.05,135.65,4515865
2019-08-21,ADANIENT,134.0,135.3,130.25,131.9,3426518
2019-08-22,ADANIENT,130.95,131.3,126.1,126.9,3358838
2019-08-23,ADANIENT,123.4,132.2,122.9,131.3,4374006
2019-08-26,ADANIENT,132.1,135.95,128.3,135.2,5507570
2019-08-27,ADANIENT,134.75,138.2,133.9,137.15,4495705
2019-08-28,ADANIENT,136.2,137.1,132.15,135.95,5312871
2019-08-29,ADANIENT,138.0,138.0,130.35,132.35,6108447
2019-08-30,ADANIENT,132.4,138.3,132.15,137.35,7806183
2019-09-03,ADANIENT,135.6,136.9,133.0,135.25,3477541
2019-09-04,ADANIENT,134.6,135.5,130.6,134.95,4313711
2019-09-05,ADANIENT,135.0,138.65,133.35,135.75,6840367
2019-09-06,ADANIENT,135.4,138.45,135.05,137.75,3744649
2019-09-09,ADANIENT,137.8,141.75,136.35,140.9,4349296
2019-09-11,ADANIENT,140.05,144.9,140.05,143.95,4245005
2019-09-12,ADANIENT,144.85,146.3,142.05,143.05,3500479
2019-09-13,ADANIENT,143.0,146.9,140.55,145.75,3561056
2019-09-16,ADANIENT,144.0,147.2,143.15,145.95,3713796
2019-09-17,ADANIENT,145.5,147.9,142.4,143.75,4167662
2019-09-18,ADANIENT,144.0,146.0,142.1,144.15,3465608
2019-09-19,ADANIENT,143.95,144.9,140.5,142.55,2662885
2019-09-20,ADANIENT,143.0,152.1,141.3,149.1,7545363
2019-09-23,ADANIENT,154.0,154.0,147.55,152.4,4136992
2019-09-24,ADANIENT,151.25,153.0,145.4,148.05,4576924
2019-09-25,ADANIENT,149.7,151.0,145.5,147.55,4572108
2019-09-26,ADANIENT,148.45,155.4,146.65,152.7,7013490
2019-09-27,ADANIENT,152.7,152.7,147.2,149.45,4016921
2019-09-30,ADANIENT,149.1,149.75,143.75,145.85,3528313
2019-10-01,ADANIENT,146.1,147.7,140.5,143.65,3732047
2019-10-03,ADANIENT,143.0,145.0,141.4,143.55,2070232
2019-10-04,ADANIENT,143.95,144.5,137.55,140.0,2382805
2019-10-07,ADANIENT,138.45,140.0,135.25,135.8,2701943
2019-10-09,ADANIENT,134.95,139.65,134.1,139.0,2682715
2019-10-10,ADANIENT,138.0,139.1,135.3,137.4,2413888
2019-10-11,ADANIENT,137.45,138.8,134.6,136.95,2780875
2019-10-14,ADANIENT,137.9,152.4,137.0,147.1,10795909
2019-10-15,ADANIENT,147.7,155.85,146.6,155.0,11048872
2019-10-16,ADANIENT,155.0,160.9,155.0,160.15,9587304
2019-10-17,ADANIENT,159.8,165.0,157.65,162.55,6523046
2019-10-18,ADANIENT,174.9,175.8,165.1,175.1,14162661
2019-10-22,ADANIENT,174.5,180.0,173.4,178.65,7909839
2019-10-23,ADANIENT,178.75,178.75,172.4,176.45,4743985
2019-10-24,ADANIENT,175.0,180.0,174.3,179.0,4753708
2019-10-25,ADANIENT,179.5,183.7,177.2,181.3,7857185
2019-10-27,ADANIENT,182.9,184.25,182.0,183.4,1003414
2019-10-29,ADANIENT,182.8,197.0,182.35,195.55,9534790
2019-10-30,ADANIENT,194.35,197.45,192.3,195.75,4791525
2019-10-31,ADANIENT,196.7,201.3,196.0,199.65,6584768
2019-11-01,ADANIENT,199.0,202.4,196.2,200.45,3522957
2019-11-04,ADANIENT,200.95,203.9,198.25,200.9,3965499
2019-11-05,ADANIENT,200.0,201.5,197.7,200.55,2326138
2019-11-06,ADANIENT,199.0,209.7,198.6,207.55,6220311
2019-11-07,ADANIENT,207.9,210.4,205.5,209.15,3959490
2019-11-08,ADANIENT,208.7,212.0,206.2,208.05,4057743
2019-11-11,ADANIENT,206.95,212.25,206.05,210.85,2907157
2019-11-13,ADANIENT,209.0,210.75,194.3,198.2,9836594
2019-11-14,ADANIENT,196.25,203.15,194.05,202.3,4141184
2019-11-15,ADANIENT,202.0,205.0,200.8,203.6,3314555
2019-11-18,ADANIENT,203.8,205.6,200.1,201.15,2041767
2019-11-19,ADANIENT,202.0,202.6,196.25,199.7,2954848
2019-11-20,ADANIENT,198.5,207.45,198.1,205.7,3488019
2019-11-21,ADANIENT,206.9,209.0,201.95,205.5,4409698
2019-11-22,ADANIENT,204.75,206.3,200.1,203.45,2545651
2019-11-25,ADANIENT,201.9,216.25,201.6,215.2,6805228
2019-11-26,ADANIENT,214.75,217.7,207.15,210.6,5247790
2019-11-27,ADANIENT,209.9,215.2,208.5,213.55,4051404
2019-11-28,ADANIENT,212.8,216.2,210.5,213.1,4234343
2019-11-29,ADANIENT,212.4,221.5,211.7,214.9,7969827
2019-12-02,ADANIENT,212.0,213.7,206.05,209.0,3169460
2019-12-03,ADANIENT,208.0,209.95,203.55,207.85,2382612
2019-12-04,ADANIENT,205.8,213.5,205.3,212.45,2917279
2019-12-05,ADANIENT,213.0,213.7,207.35,208.4,2309030
2019-12-06,ADANIENT,208.45,210.05,205.05,206.5,1958477
2019-12-09,ADANIENT,205.9,209.7,202.4,207.45,2550809
2019-12-10,ADANIENT,207.45,208.2,203.3,204.2,2139886
2019-12-11,ADANIENT,203.1,207.8,202.65,206.15,2155584
2019-12-12,ADANIENT,206.9,212.35,206.6,210.4,2958155
2019-12-13,ADANIENT,210.5,213.25,208.5,212.2,2867800
2019-12-16,ADANIENT,212.1,213.25,209.4,210.5,2184582
2019-12-17,ADANIENT,210.5,213.2,210.0,211.2,1968218
2019-12-18,ADANIENT,211.8,212.45,205.6,208.15,2542320
2019-12-19,ADANIENT,207.65,211.0,206.75,210.55,2180662
2019-12-20,ADANIENT,210.0,220.8,209.5,218.8,6997898
2019-12-23,ADANIENT,217.75,220.8,212.4,214.55,3709426
2019-12-24,ADANIENT,214.55,216.95,207.6,209.15,2984621
2019-12-26,ADANIENT,208.95,211.1,205.6,208.95,3299177
2019-12-27,ADANIENT,209.05,211.2,207.1,209.1,2240503
2019-12-30,ADANIENT,209.9,211.6,208.0,208.65,1938731
2019-12-31,ADANIENT,208.7,210.75,207.65,208.35,1600059
2020-01-01,ADANIENT,209.0,210.45,206.65,207.85,1553127
2020-01-02,ADANIENT,208.0,213.2,207.5,211.2,2991937
2020-01-03,ADANIENT,210.25,212.35,205.8,208.3,2512421
2020-01-06,ADANIENT,207.75,207.75,197.75,199.55,4353179
2020-01-07,ADANIENT,200.55,205.7,200.55,204.05,2966120
2020-01-08,ADANIENT,201.0,203.55,194.55,201.5,5762654
2020-01-09,ADANIENT,201.9,208.9,201.9,208.0,3496063
2020-01-10,ADANIENT,208.0,213.0,205.9,209.1,2769132
2020-01-13,ADANIENT,210.65,216.25,209.6,213.6,3527267
2020-01-14,ADANIENT,213.45,215.5,211.85,214.35,1775182
2020-01-15,ADANIENT,214.5,218.0,212.5,216.6,1982079
2020-01-16,ADANIENT,217.7,222.5,217.0,220.0,4280379
2020-01-17,ADANIENT,216.0,229.25,213.7,228.4,10810744
2020-01-20,ADANIENT,229.55,232.25,224.15,226.55,4546367
2020-01-21,ADANIENT,224.35,227.0,220.5,224.25,2813526
2020-01-22,ADANIENT,224.8,228.0,221.15,225.9,2939366
2020-01-23,ADANIENT,226.0,231.2,225.75,229.6,2650092
2020-01-24,ADANIENT,225.5,232.4,219.0,229.75,7154795
2020-01-27,ADANIENT,229.5,236.45,226.05,230.55,5293975
2020-01-28,ADANIENT,232.25,234.5,229.1,229.9,2161711
2020-01-29,ADANIENT,231.7,238.35,231.0,232.3,3738186
2020-01-30,ADANIENT,232.3,232.75,228.2,231.5,2192123
2020-01-31,ADANIENT,231.0,234.55,227.15,229.45,2720308
2020-02-01,ADANIENT,228.0,233.65,220.8,222.8,3046388
2020-02-03,ADANIENT,221.7,224.65,215.6,220.9,2720614
2020-02-04,ADANIENT,222.65,227.15,222.05,225.45,2028088
2020-02-05,ADANIENT,226.75,239.3,222.55,236.25,8985919
2020-02-06,ADANIENT,237.4,243.6,234.1,236.5,8852675
2020-02-07,ADANIENT,236.4,242.15,235.25,239.5,5052443
2020-02-10,ADANIENT,239.5,245.15,237.55,244.5,5588211
2020-02-11,ADANIENT,245.2,248.6,243.65,245.3,3533751
2020-02-12,ADANIENT,245.9,251.4,245.0,249.7,4490312
2020-02-13,ADANIENT,249.8,252.75,248.25,251.45,2563148
2020-02-14,ADANIENT,252.5,258.6,251.55,256.15,4968325
2020-02-17,ADANIENT,256.9,257.4,251.65,252.5,2411524
